,user_id,group_id
0,3544150e-d0c3-4e1b-882f-95b7dff26a51,cbed6e4f-76e6-476b-b346-920747261ff6
1,929be014-4423-466e-97bb-a4dcf2269895,cbed6e4f-76e6-476b-b346-920747261ff6
2,eeb6bd31-3150-4afd-ab46-6736d34656b5,cbed6e4f-76e6-476b-b346-920747261ff6
3,fa7c2233-e2b4-4053-b813-e745ae6b77ac,cbed6e4f-76e6-476b-b346-920747261ff6
4,d7477462-fb4d-4ca8-a4f4-3687ca9388ce,cbed6e4f-76e6-476b-b346-920747261ff6
5,59d94266-0440-489a-96a3-cc2500618bb2,cbed6e4f-76e6-476b-b346-920747261ff6
6,fde0896b-32ac-461b-8e8a-f4830bd52917,cbed6e4f-76e6-476b-b346-920747261ff6
7,1a79afa6-4bd5-48e6-9394-ce08600ba751,cbed6e4f-76e6-476b-b346-920747261ff6
8,d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8,cbed6e4f-76e6-476b-b346-920747261ff6
9,901e6de0-1bda-4e21-b4c6-34e7d0acb9a3,cbed6e4f-76e6-476b-b346-920747261ff6
10,a4874c16-098c-4c8c-b40d-b2995e83ae52,bb7e2188-3282-4e05-a8fe-00caa511bc40
11,8e5a1b1b-624c-4b99-9ce8-537f7b0cc3f3,bb7e2188-3282-4e05-a8fe-00caa511bc40
12,eeb6bd31-3150-4afd-ab46-6736d34656b5,bb7e2188-3282-4e05-a8fe-00caa511bc40
13,05ff9c3a-66a8-465e-bd45-f4e003105e55,bb7e2188-3282-4e05-a8fe-00caa511bc40
14,d7477462-fb4d-4ca8-a4f4-3687ca9388ce,bb7e2188-3282-4e05-a8fe-00caa511bc40
15,eba3cd89-90e5-4baf-be65-5473078636bc,bb7e2188-3282-4e05-a8fe-00caa511bc40
16,4010e491-3e4a-4145-8e59-7f51ea4e10e5,bb7e2188-3282-4e05-a8fe-00caa511bc40
17,f2145c99-3dbc-41cd-9105-0ac5b58d6ba2,bb7e2188-3282-4e05-a8fe-00caa511bc40
18,d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8,bb7e2188-3282-4e05-a8fe-00caa511bc40
19,ac8843b6-986b-4cf7-8350-fa3d49a0b755,bb7e2188-3282-4e05-a8fe-00caa511bc40
20,308d49c4-0155-466e-9139-bae8dd5624ff,bb7e2188-3282-4e05-a8fe-00caa511bc40
21,183ff508-094e-47d8-a968-93a4d0966f00,13e30bac-2a37-4809-b5ed-31d0d7aad2f7
22,eeb6bd31-3150-4afd-ab46-6736d34656b5,13e30bac-2a37-4809-b5ed-31d0d7aad2f7
23,fa7c2233-e2b4-4053-b813-e745ae6b77ac,13e30bac-2a37-4809-b5ed-31d0d7aad2f7
24,8c0c6435-4672-419d-ba67-0b7765cd9c6c,13e30bac-2a37-4809-b5ed-31d0d7aad2f7
